"","varname","series","outcome","N","degf","index","varnameModel","estimate","standard_error","tstat","pvalue","rsq","adjrsq","noenv_rsq","noenv_adjrsq","model_name","var_desc"
"65","DR1TMAGN","2005-2006","msys",3356,1,2,"DR1TMAGN",-0.00855114895399952,0.0027003687350826,-3.16665973905892,0.194728937408707,0.150311790993864,0.146751289669086,0.147273914634913,0.143956907121524,"full_model","Magnesium (mg)"
"68","DR1TMAGN","2003-2004","msys",3080,1,2,"DR1TMAGN",-0.0129206456788439,0.00304328875564632,-4.24561936650664,0.147263328562105,0.178848856014375,0.175098084067948,0.173408779833626,0.169903989924244,"full_model","Magnesium (mg)"
"70","DR1TPHOS","2001-2002","msys",3352,1,2,"DR1TPHOS",-0.000461690321699338,0.000732942788736759,-0.629913178482962,0.642140372444399,0.196470679547537,0.193099564628048,0.196295532316718,0.193165466984219,"full_model","Phosphorus (mg)"
"72","DR1TPHOS","2005-2006","msys",3356,1,2,"DR1TPHOS",-0.00141870031274674,0.00118764656697334,-1.1945475633902,0.443710539673131,0.148222622755485,0.144653367059159,0.147273914634913,0.143956907121524,"full_model","Phosphorus (mg)"
"74","DR1TPHOS","2003-2004","msys",3080,1,2,"DR1TPHOS",-0.0025462481722166,0.000504236292680334,-5.04971222654698,0.124460221774422,0.176699878124795,0.172939290292413,0.173408779833626,0.169903989924244,"full_model","Phosphorus (mg)"
"77","DR1TVB1","2005-2006","msys",3356,1,2,"DR1TVB1",-0.421704923286769,0.317027483034489,-1.3301841192137,0.410388368459447,0.147720641502739,0.144149282323164,0.147273914634913,0.143956907121524,"full_model","Thiamin (Vitamin B1) (mg)"
"79","DR1TVB1","2003-2004","msys",3080,1,2,"DR1TVB1",-0.875089406055206,0.396061935449704,-2.2094761645337,0.270570174004571,0.174773422405078,0.171004035101219,0.173408779833626,0.169903989924244,"full_model","Thiamin (Vitamin B1) (mg)"
"82","DR1TVB1","2001-2002","msys",3352,1,2,"DR1TVB1",-0.0894512930311468,0.365811607731593,-0.244528306758324,0.847324419421972,0.196318273685333,0.192946519364564,0.196295532316718,0.193165466984219,"full_model","Thiamin (Vitamin B1) (mg)"
"85","DR1TVB2","2005-2006","msys",3356,1,2,"DR1TVB2",-0.835011878983367,0.413814030031174,-2.01784332667615,0.292911462094928,0.149615042074186,0.146051621119094,0.147273914634913,0.143956907121524,"full_model","Riboflavin (Vitamin B2) (mg)"
"87","DR1TVB2","2001-2002","msys",3352,1,2,"DR1TVB2",-0.372018867848734,0.269514544266077,-1.38032946927517,0.399133376917162,0.196874564847742,0.193505144382615,0.196295532316718,0.193165466984219,"full_model","Riboflavin (Vitamin B2) (mg)"
"89","DR1TVB2","2003-2004","msys",3080,1,2,"DR1TVB2",-1.20739787241906,0.332630171267485,-3.62985073728663,0.171139235994329,0.178329904177476,0.174576761814828,0.173408779833626,0.169903989924244,"full_model","Riboflavin (Vitamin B2) (mg)"
"91","LBXFOL","2003-2004","msys",2972,1,2,"LBXFOL",-0.0185373536298004,0.0351399021299607,-0.527530030141867,0.690966745491676,0.16990207338174,0.165971951307795,0.169667653951625,0.166018458380757,"full_model","Folate, serum (ng/mL)"
"93","LBXFOL","2005-2006","msys",3179,1,2,"LBXFOL",-0.0239935852304718,0.037721560057199,-0.636070862236058,0.639341654971904,0.152756617479291,0.149007752954863,0.152504834595877,0.149023811799588,"full_model","Folate, serum (ng/mL)"
"95","LBXFOL","2001-2002","msys",3209,1,2,"LBXFOL",-0.0124099615844431,0.031552047414884,-0.393317156926843,0.761438159333198,0.197732373019943,0.194215858687532,0.19769250151328,0.194428026558561,"full_model","Folate, serum (ng/mL)"
"98","LBXIRN","2003-2004","msys",1139,2,2,"LBXIRN",-0.0043190905201632,0.0145294403549065,-0.29726475450272,0.794297259374913,0.194990409554166,0.184963599708755,0.19487651761367,0.185572868483872,"full_model","Iron, Frozen Serum (ug/dL)"
"100","LBXIRN","2005-2006","msys",1358,2,2,"LBXIRN",-0.00463989197689129,0.0132194177975128,-0.350990644819795,0.759120047030027,0.150451474142243,0.141595421005975,0.150288034436282,0.142069094293181,"full_model","Iron, Frozen Serum (ug/dL)"
"102","LBXIRN","2001-2002","msys",3215,1,2,"LBXIRN",0.00368963113590984,0.00706469327740939,0.522263457312165,0.693595330326973,0.198426738124349,0.194919855103643,0.198324552012659,0.195068762939295,"full_model","Iron, Frozen Serum (ug/dL)"
"105","LBXSCA","2003-2004","msys",2950,1,2,"LBXSCA",2.94166988142904,0.891741801341521,3.29879105925464,0.187380293243522,0.173937209498671,0.16999687591536,0.168740660593336,0.165060016379342,"full_model","Total calcium (mg/dL)"
"107","LBXSCA","2005-2006","msys",3189,1,2,"LBXSCA",3.7000396269435,1.03019678124679,3.5915853109787,0.17287469285313,0.159951685343956,0.156246368266078,0.151963492055204,0.148491216589604,"full_model","Total calcium (mg/dL)"
"109","LBXSCA","2001-2002","msys",3201,1,2,"LBXSCA",2.5718975672042,0.956584603005722,2.68862530206209,0.226689384104746,0.204299993603408,0.200803508955087,0.199324743433485,0.196058732032366,"full_model","Total calcium (mg/dL)"
"112","LBXSPH","2003-2004","msys",2949,1,2,"LBXSPH",-0.778013375105689,0.633577406447129,-1.22796893826834,0.435086076413344,0.169750999418373,0.165789347745523,0.168903836170751,0.165222660658049,"full_model","Phosphorus (mg/dL)"
"114","LBXSPH","2005-2006","msys",3189,1,2,"LBXSPH",-0.325144881318714,0.827007359134587,-0.393158389375106,0.761525697368794,0.152126652138366,0.14838682010621,0.151963492055204,0.148491216589604,"full_model","Phosphorus (mg/dL)"
"116","LBXSPH","2001-2002","msys",3201,1,2,"LBXSPH",-0.429701388105578,0.480921065674882,-0.893496706164395,0.535770189494074,0.199597468557164,0.196080319956976,0.199324743433485,0.196058732032366,"full_model","Phosphorus (mg/dL)"
"119","NAKRATIO","2001-2002","msys",3352,1,2,"NAKRATIO",0.0966128023555196,0.296089487823595,0.326295955542602,0.799207832182136,0.196319054631571,0.192947303587172,0.196295532316718,0.193165466984219,"full_model","Sodium/Potassium ratio"
"121","NAKRATIO","2003-2004","msys",3080,1,2,"NAKRATIO",1.23865910301284,0.664665854564415,1.86358166965654,0.3135339604178,0.175421111102408,0.171654682246106,0.173408779833626,0.169903989924244,"full_model","Sodium/Potassium ratio"
"123","NAKRATIO","2005-2006","msys",3356,1,2,"NAKRATIO",1.7049866335661,0.474794011814467,3.59100281625361,0.172901376106598,0.150972522833328,0.147414790214252,0.147273914634913,0.143956907121524,"full_model","Sodium/Potassium ratio"
"127","NAKRATIO","2003-2004","msys",3080,1,2,"NAKRATIO",1.23865910301284,0.664665854564415,1.86358166965654,0.3135339604178,0.175421111102408,0.171654682246106,0.173408779833626,0.169903989924244,"full_model","Sodium/Potassium ratio"
"129","NAKRATIO","2001-2002","msys",3352,1,2,"NAKRATIO",0.0966128023555196,0.296089487823595,0.326295955542602,0.799207832182136,0.196319054631571,0.192947303587172,0.196295532316718,0.193165466984219,"full_model","Sodium/Potassium ratio"
"130","NAKRATIO","2005-2006","msys",3356,1,2,"NAKRATIO",1.7049866335661,0.474794011814467,3.59100281625361,0.172901376106598,0.150972522833328,0.147414790214252,0.147273914634913,0.143956907121524,"full_model","Sodium/Potassium ratio"
