varname,series,outcome,N,degf,index,varnameModel,estimate,standard_error,tstat,pvalue,rsq,adjrsq,noenv_rsq,noenv_adjrsq,model_name,var_desc
bMAGNESIUM_mg,2005-2006,mdis,3310,3,2,bMAGNESIUM_mg,0.00423747,0.003069758,1.380392234,0.261339057,0.018579444,0.015007395,0.017298585,0.014020928,reduced_model,Total Magnesium (mg)
bPHOSPHORUS_mg,1999-2000,mdis,2949,2,2,bPHOSPHORUS_mg,0.000299611,0.000728349,0.411355992,0.720702754,0.064588879,0.060765673,0.064497006,0.06099325,reduced_model,Total Phosphorus (mg)
bPHOSPHORUS_mg,2001-2002,mdis,3387,3,2,bPHOSPHORUS_mg,-0.000500173,0.000709054,-0.705408006,0.53139587,0.040482896,0.037070268,0.040232386,0.037104254,reduced_model,Total Phosphorus (mg)
bPHOSPHORUS_mg,2003-2004,mdis,3086,3,2,bPHOSPHORUS_mg,-0.001708984,0.000703473,-2.429354185,0.093383928,0.042170114,0.038429808,0.040189358,0.036754772,reduced_model,Total Phosphorus (mg)
bPHOSPHORUS_mg,2005-2006,mdis,3346,3,2,bPHOSPHORUS_mg,0.001198267,0.000744454,1.609591257,0.20586339,0.017788868,0.014252555,0.016869971,0.01362629,reduced_model,Total Phosphorus (mg)
DR1TALCO,2005-2006,mdis,3385,3,2,DR1TALCO,0.013381745,0.018048617,0.741427723,0.512199377,0.01715706,0.013659398,0.016638753,0.013431823,reduced_model,Alcohol (gm)
DR1TALCO,1999-2000,mdis,2983,2,2,DR1TALCO,0.005080566,0.009433505,0.538566126,0.644109641,0.065225719,0.061448853,0.06497522,0.061513331,reduced_model,Alcohol (gm)
DR1TALCO,2001-2002,mdis,3466,3,2,DR1TALCO,-0.007516648,0.008141993,-0.92319516,0.423995026,0.041969056,0.038639669,0.041598046,0.03854581,reduced_model,Alcohol (gm)
DR1TALCO,2003-2004,mdis,3119,3,2,DR1TALCO,0.001962352,0.008717418,0.225107052,0.836358151,0.039376184,0.035664823,0.039358176,0.035957127,reduced_model,Alcohol (gm)
DR1TCALC,2001-2002,mdis,3466,3,2,DR1TCALC,-7.22E-05,0.000550264,-0.131247143,0.903886968,0.041605754,0.038275105,0.041598046,0.03854581,reduced_model,Calcium (mg)
DR1TCALC,1999-2000,mdis,2983,2,2,DR1TCALC,-0.000404784,0.000574083,-0.705097463,0.553803915,0.065300388,0.061523824,0.06497522,0.061513331,reduced_model,Calcium (mg)
DR1TCALC,2003-2004,mdis,3119,3,2,DR1TCALC,-0.001587263,0.000554362,-2.863227023,0.064406428,0.042298155,0.038598084,0.039358176,0.035957127,reduced_model,Calcium (mg)
DR1TCALC,2005-2006,mdis,3385,3,2,DR1TCALC,-0.000276527,0.000382006,-0.723880133,0.521480326,0.016717072,0.013217844,0.016638753,0.013431823,reduced_model,Calcium (mg)
DR1TCOPP,1999-2000,mdis,2983,2,2,DR1TCOPP,-0.247654948,0.242275594,-1.022203453,0.414198022,0.065269712,0.061493024,0.06497522,0.061513331,reduced_model,Copper (mg)
DR1TCOPP,2003-2004,mdis,3119,3,2,DR1TCOPP,-0.218875533,0.499489902,-0.438198114,0.690877057,0.039548523,0.035837828,0.039358176,0.035957127,reduced_model,Copper (mg)
DR1TCOPP,2001-2002,mdis,3466,3,2,DR1TCOPP,-0.032131822,0.151583551,-0.211974333,0.845711807,0.041610269,0.038279636,0.041598046,0.03854581,reduced_model,Copper (mg)
DR1TCOPP,2005-2006,mdis,3385,3,2,DR1TCOPP,0.374604081,0.178226132,2.101847117,0.126342874,0.017256567,0.013759259,0.016638753,0.013431823,reduced_model,Copper (mg)
DR1TFA,2003-2004,mdis,3119,3,2,DR1TFA,-0.004794296,0.001530815,-3.131858625,0.051990528,0.043097442,0.039400459,0.039358176,0.035957127,reduced_model,Folic acid (mcg)
DR1TFA,2001-2002,mdis,3466,3,2,DR1TFA,-0.001279106,0.000991512,-1.290056735,0.28747476,0.042008561,0.038679312,0.041598046,0.03854581,reduced_model,Folic acid (mcg)
DR1TFA,2005-2006,mdis,3385,3,2,DR1TFA,-0.004039051,0.001486978,-2.716280804,0.072777401,0.019215284,0.015724947,0.016638753,0.013431823,reduced_model,Folic acid (mcg)
DR1TFIBE,2001-2002,mdis,3466,3,2,DR1TFIBE,0.037671354,0.02998462,1.256355879,0.297916442,0.042275245,0.038946922,0.041598046,0.03854581,reduced_model,Dietary fiber (gm)
DR1TFIBE,2005-2006,mdis,3385,3,2,DR1TFIBE,-0.047807707,0.038122969,-1.25403947,0.298648467,0.017353266,0.013856302,0.016638753,0.013431823,reduced_model,Dietary fiber (gm)
DR1TFIBE,2003-2004,mdis,3119,3,2,DR1TFIBE,-0.080748659,0.026741702,-3.019578095,0.056778127,0.041528307,0.037825261,0.039358176,0.035957127,reduced_model,Dietary fiber (gm)
DR1TFIBE,1999-2000,mdis,2983,2,2,DR1TFIBE,-0.01902467,0.024616946,-0.772828211,0.52045986,0.065203435,0.06142648,0.06497522,0.061513331,reduced_model,Dietary fiber (gm)
DR1TIRON,2001-2002,mdis,3466,3,2,DR1TIRON,-0.024897812,0.026654356,-0.934099199,0.41915922,0.041848073,0.038518266,0.041598046,0.03854581,reduced_model,Iron (mg)
DR1TIRON,2005-2006,mdis,3385,3,2,DR1TIRON,-0.0612254,0.035864514,-1.707130353,0.186336431,0.017702399,0.014206678,0.016638753,0.013431823,reduced_model,Iron (mg)
DR1TIRON,1999-2000,mdis,2983,2,2,DR1TIRON,-0.064907265,0.02934982,-2.211504716,0.157529844,0.067036531,0.063266982,0.06497522,0.061513331,reduced_model,Iron (mg)
DR1TIRON,2003-2004,mdis,3119,3,2,DR1TIRON,-0.069776036,0.038376154,-1.818213385,0.166617552,0.040693638,0.036987367,0.039358176,0.035957127,reduced_model,Iron (mg)
DR1TM161,1999-2000,mdis,2983,2,2,DR1TM161,0.161934162,0.392673843,0.412388462,0.720056614,0.065099774,0.0613224,0.06497522,0.061513331,reduced_model,MFA 16:1 (Hexadecenoic) (gm)
DR1TM161,2001-2002,mdis,3466,3,2,DR1TM161,0.427462722,0.319361685,1.33849094,0.273134475,0.042227129,0.03889864,0.041598046,0.03854581,reduced_model,MFA 16:1 (Hexadecenoic) (gm)
DR1TM161,2005-2006,mdis,3385,3,2,DR1TM161,0.200663294,0.451313385,0.444620746,0.686714065,0.016722305,0.013223096,0.016638753,0.013431823,reduced_model,MFA 16:1 (Hexadecenoic) (gm)
DR1TM161,2003-2004,mdis,3119,3,2,DR1TM161,1.11678232,0.305539798,3.655112457,0.035365656,0.04346768,0.039772127,0.039358176,0.035957127,reduced_model,MFA 16:1 (Hexadecenoic) (gm)
DR1TMAGN,2001-2002,mdis,3466,3,2,DR1TMAGN,-0.001365611,0.002594434,-0.526361912,0.635071038,0.04171906,0.038388804,0.041598046,0.03854581,reduced_model,Magnesium (mg)
DR1TMAGN,2005-2006,mdis,3385,3,2,DR1TMAGN,0.002619237,0.003277045,0.79926804,0.48256456,0.017025734,0.013527605,0.016638753,0.013431823,reduced_model,Magnesium (mg)
DR1TMAGN,1999-2000,mdis,2983,2,2,DR1TMAGN,-0.002133976,0.001330422,-1.603984006,0.249914783,0.065425611,0.061649553,0.06497522,0.061513331,reduced_model,Magnesium (mg)
DR1TMAGN,2003-2004,mdis,3119,3,2,DR1TMAGN,-0.00915151,0.002431943,-3.76304417,0.032821566,0.043417294,0.039721547,0.039358176,0.035957127,reduced_model,Magnesium (mg)
DR1TPHOS,2001-2002,mdis,3466,3,2,DR1TPHOS,-0.000399006,0.000612122,-0.651841581,0.560988729,0.041773589,0.038443524,0.041598046,0.03854581,reduced_model,Phosphorus (mg)
DR1TPHOS,2005-2006,mdis,3385,3,2,DR1TPHOS,0.00064216,0.00071272,0.900999439,0.433995737,0.016905837,0.013407281,0.016638753,0.013431823,reduced_model,Phosphorus (mg)
DR1TPHOS,2003-2004,mdis,3119,3,2,DR1TPHOS,-0.001650799,0.000542892,-3.040753462,0.055834062,0.041413936,0.037710448,0.039358176,0.035957127,reduced_model,Phosphorus (mg)
DR1TPHOS,1999-2000,mdis,2983,2,2,DR1TPHOS,5.96E-05,0.000758295,0.078599271,0.944507563,0.064979247,0.061201386,0.06497522,0.061513331,reduced_model,Phosphorus (mg)
DR1TVB2,1999-2000,mdis,2983,2,2,DR1TVB2,-0.063383318,0.34644276,-0.182954663,0.871700684,0.064997161,0.061219372,0.06497522,0.061513331,reduced_model,Riboflavin (Vitamin B2) (mg)
DR1TVB2,2005-2006,mdis,3385,3,2,DR1TVB2,-0.107584735,0.221718057,-0.485232176,0.660739771,0.016693417,0.013194105,0.016638753,0.013431823,reduced_model,Riboflavin (Vitamin B2) (mg)
DR1TVB2,2001-2002,mdis,3466,3,2,DR1TVB2,-0.325632557,0.225057581,-1.446885529,0.243727338,0.042195309,0.038866709,0.041598046,0.03854581,reduced_model,Riboflavin (Vitamin B2) (mg)
DR1TVB2,2003-2004,mdis,3119,3,2,DR1TVB2,-0.602435944,0.265864351,-2.265952326,0.108328867,0.04117444,0.037470027,0.039358176,0.035957127,reduced_model,Riboflavin (Vitamin B2) (mg)
LBXFOL,2003-2004,mdis,3011,3,2,LBXFOL,-0.051502457,0.02529268,-2.036259358,0.134530218,0.041466216,0.037629523,0.038803765,0.035278204,reduced_model,"Folate, serum (ng/mL)"
LBXFOL,2005-2006,mdis,3205,3,2,LBXFOL,-0.08723831,0.038013723,-2.29491624,0.105479149,0.020302827,0.016619755,0.015735212,0.012344385,reduced_model,"Folate, serum (ng/mL)"
LBXFOL,2001-2002,mdis,3305,3,2,LBXFOL,-0.08238495,0.031777479,-2.59255779,0.080894764,0.042046004,0.038554069,0.039551203,0.036342902,reduced_model,"Folate, serum (ng/mL)"
LBXFOL,1999-2000,mdis,2833,2,2,LBXFOL,-0.143615275,0.021804444,-6.586514095,0.022283361,0.07874266,0.074822416,0.064533106,0.060885415,reduced_model,"Folate, serum (ng/mL)"
LBXIRN,2003-2004,mdis,1150,4,2,LBXIRN,-0.00661808,0.005109524,-1.295244013,0.264933606,0.139626106,0.130545642,0.139097551,0.130775998,reduced_model,"Iron, Frozen Serum (ug/dL)"
LBXIRN,2005-2006,mdis,1361,4,2,LBXIRN,-0.005864071,0.010325613,-0.56791503,0.600453396,0.121712758,0.113894177,0.121292431,0.114127284,reduced_model,"Iron, Frozen Serum (ug/dL)"
LBXIRN,2001-2002,mdis,3312,3,2,LBXIRN,0.007873061,0.005698739,1.381544348,0.261022506,0.040920517,0.037431898,0.040263881,0.037064761,reduced_model,"Iron, Frozen Serum (ug/dL)"
LBXIRN,1999-2000,mdis,2833,2,2,LBXIRN,-0.011772161,0.005577653,-2.110594103,0.169251047,0.065898167,0.061923265,0.064533106,0.060885415,reduced_model,"Iron, Frozen Serum (ug/dL)"
LBXSCA,2003-2004,mdis,2989,3,2,LBXSCA,0.707103616,1.044698717,0.67684932,0.54701847,0.038218795,0.034340645,0.037760715,0.034205245,reduced_model,Total calcium (mg/dL)
LBXSCA,2005-2006,mdis,3215,3,2,LBXSCA,1.911010189,0.715074051,2.672464742,0.075531659,0.018490542,0.014812181,0.015491612,0.012110534,reduced_model,Total calcium (mg/dL)
LBXSCA,2001-2002,mdis,3297,3,2,LBXSCA,0.645575423,0.634146015,1.018023306,0.383616598,0.040700316,0.037194957,0.040257693,0.037043944,reduced_model,Total calcium (mg/dL)
LBXSCA,1999-2000,mdis,2809,2,2,LBXSCA,0.962012612,0.61282139,1.569809128,0.257031963,0.066510523,0.062504131,0.065473426,0.061798134,reduced_model,Total calcium (mg/dL)
LBXSPH,2003-2004,mdis,2988,3,2,LBXSPH,-0.492583593,0.518748013,-0.949562371,0.412388216,0.038328273,0.034449261,0.037817247,0.034260791,reduced_model,Phosphorus (mg/dL)
LBXSPH,2005-2006,mdis,3215,3,2,LBXSPH,-0.456307325,0.4746179,-0.961420388,0.407264401,0.015934509,0.012246569,0.015491612,0.012110534,reduced_model,Phosphorus (mg/dL)
LBXSPH,2001-2002,mdis,3297,3,2,LBXSPH,-1.274811586,0.399042207,-3.194678565,0.049533198,0.043583488,0.040088666,0.040257693,0.037043944,reduced_model,Phosphorus (mg/dL)
LBXSPH,1999-2000,mdis,2809,2,2,LBXSPH,-0.389192834,0.731960154,-0.531713142,0.64807414,0.065757994,0.061748371,0.065473426,0.061798134,reduced_model,Phosphorus (mg/dL)
NAKRATIO,2001-2002,mdis,3352,1,2,NAKRATIO,0.27416899,0.292528908,0.937237251,0.52061804,0.06315225,0.059221813,0.062888554,0.059238929,reduced_model,Sodium/Potassium ratio
NAKRATIO,2003-2004,mdis,3080,1,2,NAKRATIO,0.313268316,0.496298109,0.631209974,0.641549674,0.057307184,0.053001246,0.057118384,0.053120517,reduced_model,Sodium/Potassium ratio
NAKRATIO,2005-2006,mdis,3356,1,2,NAKRATIO,0.291506908,0.449242493,0.64888543,0.633567202,0.045809128,0.041810723,0.045661141,0.041948871,reduced_model,Sodium/Potassium ratio
